# Time-averaged data for fix myat1
# TimeStep v_kenergy v_penergy v_pres v_tempera v_dense v_entha
3940 11.103 -258.147 -169.038 344.967 0.925438 -248.132
3950 11.3515 -258.463 -278.116 352.687 0.92583 -248.901
3960 11.1188 -258.567 -296.431 345.456 0.926224 -249.355
3970 11.0128 -258.223 -95.599 342.164 0.926619 -247.825
3980 10.6528 -257.855 78.2674 330.98 0.927014 -246.699
3990 11.0919 -257.862 224.929 344.621 0.927407 -245.326
4000 11.6399 -258.205 258.167 361.648 0.927796 -244.907
4010 11.1451 -258.286 246.748 346.274 0.928181 -245.558
4020 11.3978 -258.138 308.681 354.125 0.928563 -244.76
4030 10.7348 -258.127 239.969 333.526 0.928941 -245.854
4040 10.4597 -258.487 96.2001 324.978 0.929315 -247.41
4050 11.757 -258.988 43.2222 365.286 0.929687 -246.954
4060 11.9786 -258.911 75.9246 372.17 0.930057 -246.447
4070 10.8928 -258.357 159.821 338.435 0.930425 -246.441
4080 10.6352 -257.88 308.067 330.432 0.93079 -245.273
4090 9.9303 -257.712 343.349 308.531 0.931151 -245.585
4100 10.2838 -257.707 436.408 319.515 0.931507 -244.633
4110 10.4452 -257.755 518.114 324.528 0.931858 -243.997
4120 10.8668 -257.937 566.507 337.629 0.932204 -243.45
4130 11.101 -258.19 551.216 344.904 0.932543 -243.568
4140 10.8169 -258.338 437.904 336.078 0.932876 -244.725
4150 10.7684 -258.276 494.614 334.571 0.933203 -244.35
4160 10.6146 -258.082 559.431 329.792 0.933525 -243.897
4170 10.521 -258.087 552.223 326.883 0.933841 -244.043
4180 11.0098 -258.535 455.223 342.069 0.93415 -244.622
4190 11.2089 -258.769 394.247 348.257 0.934454 -245.047
4200 10.8681 -258.505 466.349 337.669 0.934753 -244.665
4210 10.0839 -258.138 513.561 313.304 0.935046 -244.782
4220 9.88312 -258.083 566.751 307.065 0.935334 -244.591
4230 10.38 -258.326 606.278 322.504 0.935615 -244.086
4240 10.6818 -258.654 582.145 331.88 0.935889 -244.267
4250 10.7971 -259.035 436.695 335.461 0.936158 -245.459
4260 11.3087 -259.136 425.111 351.356 0.936421 -245.123
4270 11.0992 -258.812 478.535 344.847 0.936679 -244.669
4280 10.522 -258.439 472.868 326.914 0.936932 -244.911
4290 10.4 -258.324 513.186 323.123 0.937179 -244.662
4300 10.5727 -258.367 564.989 328.488 0.937422 -244.204
4310 11.2512 -258.552 579.387 349.571 0.937658 -243.62
4320 11.2362 -258.639 632.067 349.103 0.937888 -243.389
4330 11.5119 -258.559 699.417 357.671 0.938111 -242.606
4340 11.5537 -258.658 665.459 358.971 0.938328 -242.88
4350 12.0047 -259.015 641.363 372.983 0.938537 -242.939
4360 11.6662 -259.223 578.326 362.465 0.938739 -243.887
